Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
cpe007	NA	contig_2_np1212	581842	584103	+	parC_S87L	Pseudomonas aeruginosa quinolone resistant ParC	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	754	754	100.00	99.73	754	WP_003095687.1	DNA topoisomerase IV subunit A ParC	NA	NA
cpe007	NA	contig_2_np1212	791085	792515	-	pmrB_V15I	Pseudomonas aeruginosa colistin resistant PmrB	core	AMR	POINT	COLISTIN	COLISTIN	POINTX	477	477	100.00	98.95	477	WP_003112923.1	two-component system sensor histidine kinase PmrB	NA	NA
cpe007	NA	contig_2_np1212	1138088	1138282	-	crpP	ICE-associated protein CrpP	plus	AMR	AMR	FLUOROQUINOLONE	FLUOROQUINOLONE	BLASTX	65	65	100.00	98.46	65	AEQ93536.1	ICE-associated protein CrpP	NA	NA
cpe007	NA	contig_2_np1212	1512545	1513180	-	catB7	type B-4 chloramphenicol O-acetyltransferase CatB7	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	BLASTX	212	212	100.00	98.11	212	WP_003112709.1	type B-4 chloramphenicol O-acetyltransferase CatB7	NA	NA
cpe007	NA	contig_2_np1212	1997992	1998396	+	fosA	FosA family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	135	135	100.00	100.00	135	WP_003082280.1	FosA family fosfomycin resistance glutathione transferase	NA	NA
cpe007	NA	contig_2_np1212	3038502	3039689	-	mexX	multidrug efflux RND transporter periplasmic adaptor subunit MexX	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	396	396	100.00	98.99	396	AAF14522.1	multidrug efflux RND transporter periplasmic adaptor subunit MexX	NA	NA
cpe007	NA	contig_2_np1212	3700803	3702044	+	mexE	multidrug efflux RND transporter periplasmic adaptor subunit MexE	plus	AMR	AMR	EFFLUX	EFFLUX	BLASTX	414	414	100.00	99.28	414	AAG05881.1	multidrug efflux RND transporter periplasmic adaptor subunit MexE	NA	NA
cpe007	NA	contig_2_np1212	4606799	4609567	-	gyrA_T83I	Pseudomonas aeruginosa quinolone resistant GyrA	core	AMR	POINT	QUINOLONE	QUINOLONE	POINTX	923	923	100.00	99.89	923	WP_003091448.1	DNA gyrase subunit A GyrA	NA	NA
cpe007	NA	contig_2_np1212	5621462	5622652	+	blaPDC-11	class C beta-lactamase PDC-11	core	AMR	AMR	BETA-LACTAM	CEPHALOSPORIN	ALLELEX	397	397	100.00	100.00	397	WP_033990638.1	class C beta-lactamase PDC-11	NA	NA
cpe007	NA	contig_2_np1212	5635001	5635804	-	aph(3')-IIb	aminoglycoside O-phosphotransferase APH(3')-IIb	core	AMR	AMR	AMINOGLYCOSIDE	KANAMYCIN	EXACTX	268	268	100.00	100.00	268	WP_003113011.1	aminoglycoside O-phosphotransferase APH(3')-IIb	NA	NA
cpe007	NA	contig_2_np1212	6051158	6052306	-	mexA	multidrug efflux RND transporter periplasmic adaptor subunit MexA	plus	AMR	AMR	EFFLUX	EFFLUX	EXACTX	383	383	100.00	100.00	383	AAA74436.1	multidrug efflux RND transporter periplasmic adaptor subunit MexA	NA	NA
cpe007	NA	contig_2_np1212	6503116	6503349	+	dfrB2	trimethoprim-resistant dihydrofolate reductase DfrB2	core	AMR	AMR	TRIMETHOPRIM	TRIMETHOPRIM	EXACTX	78	78	100.00	100.00	78	WP_063844477.1	trimethoprim-resistant dihydrofolate reductase DfrB2	NA	NA
