Name	Protein identifier	Contig id	Start	Stop	Strand	Gene symbol	Sequence name	Scope	Element type	Element subtype	Class	Subclass	Method	Target length	Reference sequence length	% Coverage of reference sequence	% Identity to reference sequence	Alignment length	Accession of closest sequence	Name of closest sequence	HMM id	HMM description
cpe079	NA	contig_1_np1212	430734	431138	-	fosA	FosA family fosfomycin resistance glutathione transferase	core	AMR	AMR	FOSFOMYCIN	FOSFOMYCIN	EXACTX	135	135	100.00	100.00	135	WP_003082280.1	FosA family fosfomycin resistance glutathione transferase	NA	NA
cpe079	NA	contig_1_np1212	975824	978670	+	clpK	heat shock survival AAA family ATPase ClpK	plus	STRESS	HEAT	NA	NA	BLASTX	949	949	100.00	95.79	949	ASF80763.1	heat shock survival AAA family ATPase ClpK	NA	NA
cpe079	NA	contig_1_np1212	982056	982511	+	shsP	small heat shock protein sHSP20-GI	plus	STRESS	HEAT	NA	NA	BLASTX	152	152	100.00	96.71	152	ASF80771.1	small heat shock protein sHSP20-GI	NA	NA
cpe079	NA	contig_1_np1212	982537	983448	+	yfdX1	heat resistance protein YfdX1	plus	STRESS	HEAT	NA	NA	BLASTX	304	304	100.00	95.39	304	APX31172.1	heat resistance protein YfdX1	NA	NA
cpe079	NA	contig_1_np1212	983554	984438	+	yfdX2	heat resistance protein YfdX2	plus	STRESS	HEAT	NA	NA	BLASTX	295	295	100.00	94.24	295	ASF80766.1	heat resistance protein YfdX2	NA	NA
cpe079	NA	contig_1_np1212	984538	985146	+	hdeD-GI	heat resistance membrane protein HdeD-GI	plus	STRESS	HEAT	NA	NA	BLASTX	203	203	100.00	91.13	203	APX31174.1	heat resistance membrane protein HdeD-GI	NA	NA
cpe079	NA	contig_1_np1212	986364	986801	+	trxLHR	heat resistance system thioredoxin Trx-GI	plus	STRESS	HEAT	NA	NA	BLASTX	146	146	100.00	96.58	146	APX31176.1	heat resistance system thioredoxin Trx-GI	NA	NA
cpe079	NA	contig_1_np1212	986808	988520	+	kefB-GI	heat resistance system K+/H+ antiporter KefB-GI	plus	STRESS	HEAT	NA	NA	BLASTX	571	571	100.00	92.82	571	APX31177.1	heat resistance system K+/H+ antiporter KefB-GI	NA	NA
cpe079	NA	contig_1_np1212	988520	989014	+	psi-GI	heat resistance protein PsiE-GI	plus	STRESS	HEAT	NA	NA	BLASTX	165	165	100.00	91.52	165	APX31178.1	heat resistance protein PsiE-GI	NA	NA
cpe079	NA	contig_1_np1212	1009368	1010003	+	catB7	type B-4 chloramphenicol O-acetyltransferase CatB7	core	AMR	AMR	PHENICOL	CHLORAMPHENICOL	EXACTX	212	212	100.00	100.00	212	WP_003112709.1	type B-4 chloramphenicol O-acetyltransferase CatB7	NA	NA
